pregunta,correcta,incorrecta1,incorrecta2,incorrecta3,incorrecta4
¿Cuál es la capital de Francia?,París,Madrid,Berlín,Roma,Londres
¿Cuál es el planeta más cercano al Sol?,Mercurio,Venus,Tierra,Marte,Júpiter
¿Qué elemento químico tiene el símbolo O?,Oxígeno,Oro,Osmio,Oxalato,Óxido
¿Quién escribió 'Cien años de soledad'?,Gabriel García Márquez,Mario Vargas Llosa,Julio Cortázar,Carlos Fuentes,Isabel Allende
¿Qué país ganó la Copa Mundial de la FIFA 2018?,Francia,Croacia,Brasil,Argentina,Alemania
¿Cuál es el río más largo del mundo?,Río Amazonas,Río Nilo,Río Yangtsé,Río Misisipi,Río Danubio
¿Cuál es la moneda oficial de Japón?,Yen,Dólar,Euro,Peso,Won
¿Qué idioma se habla en Brasil?,Portugués,Español,Inglés,Francés,Italiano
¿Cuál es el océano más grande?,Océano Pacífico,Océano Atlántico,Océano Índico,Océano Ártico,Océano Antártico
¿Quién pintó la Mona Lisa?,Leonardo da Vinci,Pablo Picasso,Vincent van Gogh,Miguel Ángel,Salvador Dalí
