Pregunta,Correcta,Incorrecta1,Incorrecta2,Incorrecta3,Incorrecta4
¿Cuál fue un ejemplo emblemático del capital monopolista en Perú?,Cerro de Pasco Copper Corporation,PetroPerú,Repsol,Banco de la Nación,Scotiabank
¿Qué sector tuvo un crecimiento acumulado del 337% entre 1950 y 1960?,Sector exportador,Agricultura,Educación,Salud,Transporte
¿Qué tipo de capitalismo predominó en Perú entre 1890 y 1930?,Capitalismo de enclave,Capitalismo agrario,Capitalismo industrial,Capitalismo de libre mercado,Capitalismo financiero
¿En qué año se firmó el Contrato de Marcona?,1951,1955,1960,1948,1962
¿Cuál fue la tasa de crecimiento de la minería entre 1950 y 1960?,172%,200%,150%,100%,300%
¿Qué sector fue fuertemente fortalecido por la política de Odría?,Exportador,Industrial,Comercial,Agrícola,Educativo
¿Qué porcentaje de la PEA estaba en la agricultura en 1940?,61%,50%,70%,30%,40%
¿Qué acontecimiento internacional influyó en la política económica peruana durante la era de Odría?,Guerra de Corea,Primera Guerra Mundial,Guerra de Vietnam,Revolución Mexicana,Segunda Guerra Mundial
¿Quién fue derrocado por un golpe de Estado en 1948?,Bustamante y Rivero,Manuel Odría,Alberto Fujimori,Juan Velasco Alvarado,Francisco Morales Bermúdez
¿Cuál fue uno de los efectos de la crisis de 1929 en Perú?,Rápida recuperación en 1932,Crisis prolongada hasta 1940,Transformación industrial masiva,Estancamiento económico hasta 1950,Desaparición de las exportaciones
¿Qué ley se promulgó en 1950?,Código de Minería,Ley de Petróleo,Ley de la Electricidad,Ley de Reforma Agraria,Ley de Comercio Exterior
¿Cuál fue la relación entre capitalismo y pre-capitalismo en el Perú entre 1890 y 1930?,Articulación orgánica,Separación total,Integración total,Conflicto abierto,Competencia directa
¿Qué porcentaje de la población vivía en barriadas en Lima en 1956?,10%,20%,30%,5%,15%
¿Qué empresa minera estadounidense incrementó significativamente sus inversiones en Perú entre 1950 y 1965?,Cerro de Pasco Corporation,PetroPerú,BHP Billiton,Anglo American,Glencore
¿Cuál fue el crecimiento de la población urbana en Lima de 1940 a 1956?,Se duplicó,Se triplicó,Se redujo a la mitad,No cambió,Se cuadruplicó
¿Quién apoyó el golpe de Estado de Sánchez Cerro en 1930?,Una fracción de la clase dominante,La clase trabajadora,Los campesinos,Los terratenientes,La burguesía industrial
¿Qué porcentaje de la PEA estaba en la industria y el comercio en 1961?,13.5%,20%,25%,30%,10%
¿Qué régimen se instauró en Perú tras la Guerra del Pacífico?,Estado Oligárquico nacional dependiente,Estado democrático pleno,Estado socialista,Estado federal,Estado comunista
¿En qué año la población urbana representaba el 40% de la población total?,1961,1940,1950,1970,1980
¿Cuál fue una de las principales consecuencias del gobierno de Odría en términos económicos?,Masiva penetración de capitales extranjeros,Cierre de las exportaciones industriales,Fortalecimiento de la agricultura,Desindustrialización del país,Nacionalización de las empresas
