pregunta,correcta,incorrecta1,incorrecta2,incorrecta3,incorrecta4
¿Qué tratado reconoció la culpabilidad de Alemania en la Primera Guerra Mundial?,Tratado de Versalles,Tratado de París,Tratado de Potsdam,Tratado de Londres,Tratado de Ginebra
¿Qué organización fue creada como antagónica al sistema capitalista occidental?,COMECON,OTAN,Unión Europea,Banco Mundial,FMI
¿Cuál fue uno de los cambios financieros destacados tras la Primera Guerra Mundial?,Consecuencias de los préstamos de guerra,Creación del Banco Mundial,Implementación del Plan Marshall,Inicio de la Unión Europea,Desaparición del patrón oro
¿Qué organización fue un ejemplo de unión aduanera en Europa?,BENELUX,NAFTA,ASEAN,OTAN,OPEP
¿Cuál es la forma más simple de integración económica?,Zona de Libre Comercio,Unión Aduanera,Comunidad Económica,Integración Económica Completa,Unión Monetaria
¿En qué año se firmó el Tratado de Libre Comercio de América del Norte?,1993,1988,1990,1995,2000
¿Cuál fue la principal consecuencia del Plan Marshall en Europa?,Establecimiento de nuevas relaciones económicas,Fin de la Segunda Guerra Mundial,Creación de la ONU,Formación de la OTAN,Desintegración de la URSS
¿Qué bloque surgió en respuesta al Plan Marshall?,COMECON,Unión Europea,ASEAN,MERCOSUR,OPEP
¿Cuál fue la primera etapa en el proceso de integración económica según Bela Balassa?,Zona de Libre Comercio,Unión Aduanera,Integración Monetaria,Comunidad Económica,Integración Política
¿Qué país fue miembro observador del COMECON?,México,Brasil,China,Italia,Argentina
¿Cuál es un ejemplo de mercado común en África?,Mercado Común Centroamericano,Asociación Europea de Libre Comercio,Comunidad Económica del África Occidental,Unión Europea,MERCOSUR
¿Qué país no formó parte del Mercado Común Centroamericano?,México,El Salvador,Guatemala,Honduras,Nicaragua
¿En qué año se firmó el Tratado de la Unión Europea?,1993,1999,2001,1987,2004
¿Cuál fue el objetivo principal del COMECON?,Contrarrestar los organismos económicos capitalistas,Unir a Europa del Este,Crear una moneda única,Promover el turismo en Europa del Este,Desarrollar el comercio con EE.UU.
¿Qué tratado creó la Comunidad Económica Europea?,Tratados de Roma,Tratado de Versalles,Tratado de París,Tratado de Lisboa,Tratado de Maastricht
¿Qué país fue parte de la Asociación Europea de Libre Comercio?,Suiza,España,Italia,Francia,Alemania
¿Qué país no formó parte del COMECON?,Japón,Checoslovaquia,Unión Soviética,Rumania,Hungría
¿Cuál fue la moneda oficial de la Unión Europea en 1999?,Euro,Franco,Libra,Ecu,Dólar
¿Cuál fue una de las principales razones para los limitados progresos en la integración regional en África?,Deterioro de la relación de intercambio,Exceso de producción industrial,Falta de recursos naturales,Escasez de mano de obra,Superávit fiscal
¿Qué organización fue la precursora de la Comunidad Económica Europea?,Comunidad Europea del Carbón y del Acero,OTAN,Unión Monetaria Europea,Unión Europea,COMECON
