pregunta,correcta,incorrecta1,incorrecta2,incorrecta3,incorrecta4
"¿En qué año se realizaron los Acuerdos de Bretton Woods?","1944","1945","1950","1939","1942"
"¿Cuál fue el propósito principal de los Acuerdos de Bretton Woods?","Establecer un nuevo modelo económico mundial de posguerra","Crear la Unión Europea","Eliminar las deudas de guerra","Fundar la OTAN","Desarrollar una moneda única global"
"¿Qué moneda se convirtió en la referencia mundial tras los Acuerdos de Bretton Woods?","Dólar estadounidense","Libra esterlina","Franco suizo","Yen japonés","Marco alemán"
"¿Qué organismo se creó con el objetivo de vigilar la economía global según los Acuerdos de Bretton Woods?","Fondo Monetario Internacional (FMI)","Banco Mundial","Organización Mundial del Comercio (OMC)","Banco Central Europeo","Naciones Unidas"
"¿Cuál era la propuesta británica liderada por John Maynard Keynes en Bretton Woods?","Crear la moneda Bancor","Establecer el patrón oro puro","Implementar el libre comercio total","Abolir las barreras arancelarias","Establecer una moneda común europea"
"¿Por qué se abandonó el sistema de Bretton Woods en 1971?","Nixon suspendió la convertibilidad del dólar en oro","Se adoptó el euro como moneda global","El oro se agotó en las reservas mundiales","EE.UU. entró en recesión","La ONU decidió un nuevo sistema monetario"
"¿Qué institución fue inicialmente llamada Banco Internacional para la Reconstrucción y el Desarrollo?","Banco Mundial","Fondo Monetario Internacional","Banco Central Europeo","Banco de Pagos Internacionales","Banco Asiático de Desarrollo"
"¿Qué evento contribuyó a la creación de un nuevo orden económico internacional después de la Segunda Guerra Mundial?","La Guerra Fría","La creación de la Unión Europea","La independencia de India","El Tratado de Versalles","El Pacto de Varsovia"
"¿Qué país emergió como la potencia hegemónica del mundo capitalista tras la Segunda Guerra Mundial?","Estados Unidos","Reino Unido","Alemania","Japón","Francia"
"¿Qué suceso marcó el fin del sistema socialista en Europa Oriental?","Caída del Muro de Berlín","Fundación de la OTAN","Fin de la Segunda Guerra Mundial","Crisis de los misiles en Cuba","Guerra de Vietnam"
"¿Qué organismo fue creado para regular el comercio internacional y fue precursor de la OMC?","GATT (Acuerdo General sobre Aranceles y Comercio)","FMI","Unión Europea","Banco Mundial","OTAN"
"¿Qué país tenía la capacidad de cubrir su déficit de balanza de pagos mediante la emisión de dólares?","Estados Unidos","Reino Unido","Francia","Alemania","Japón"
"¿Qué factor provocó la pérdida de confianza en el dólar durante los años 60?","Inflación y déficit crecientes en EE.UU.","Reducción de reservas de oro en Europa","Crisis económica global","Aumento de la producción en Asia","Desaparición del patrón oro"
"¿Qué cambio económico global comenzó en la década de 1970?","Fin del patrón oro y adopción del dólar flotante","Inicio del euro como moneda única","Fin del capitalismo en Europa","Implementación del libre comercio en Asia","Abolición del FMI"
"¿Qué evento impulsó la creación de la OMC en 1995?","Ronda de Uruguay","Caída de la Unión Soviética","Acuerdos de Bretton Woods","Firma del Tratado de Maastricht","Revolución Cubana"
"¿Qué crisis marcó el comienzo de la crisis del orden económico internacional en los años 70?","Crisis del petróleo de 1973","Caída del Muro de Berlín","Guerra de Vietnam","Independencia de India","Acuerdos de Camp David"
"¿Qué bloque económico surgió como resultado de la posguerra bajo la influencia soviética?","Bloque socialista","Bloque capitalista","Mercado Común Europeo","Unión Africana","OTAN"
"¿Qué sistema económico se consolidó en Europa Occidental después de la Segunda Guerra Mundial?","Estado liberal intervencionista","Socialismo estalinista","Comunismo","Anarquismo","Mercantilismo"
"¿Qué rol jugó el complejo militar-industrial en la economía de EE.UU. después de la Segunda Guerra Mundial?","Impulsó el crecimiento a través de la tecnología militar","Estableció la agricultura como base económica","Centralizó la economía en la producción de bienes de consumo","Abolió las industrias automotrices","Inició el desarrollo de energía nuclear civil"
"¿Qué evento histórico está asociado con el fin del orden económico internacional de la posguerra?","Desmantelamiento de los regímenes socialistas","Acuerdos de Bretton Woods","Fundación del FMI","Creación del Banco Mundial","Fin de la Primera Guerra Mundial"
